-0.05,51.95,-0.26,0.38,14663887

0.00,32.59,-0.25,0.38,14663988

0.02,34.24,-0.22,0.38,14664089

0.11,36.31,-0.22,0.41,14664190

0.08,36.76,-0.22,0.41,14664291

0.05,37.38,-0.17,0.41,14664392

0.26,37.55,-0.21,0.41,14664493

0.11,37.94,-0.21,0.41,14664594

0.38,38.44,-0.24,0.38,14664695

0.26,38.59,-0.25,0.38,14664796

0.26,38.88,-0.25,0.38,14664897

0.76,39.15,-0.17,0.38,14664998

1.77,39.50,-0.02,0.38,14665099

2.30,38.59,0.09,0.41,14665200

3.28,40.54,0.10,0.41,14665301

4.07,40.95,0.05,0.41,14665402

5.96,41.43,0.15,0.41,14665503

7.09,52.77,0.15,0.41,14665604

8.03,33.33,0.11,0.44,14665705

8.71,52.95,0.16,0.44,14665806

9.60,52.98,0.15,0.44,14665907

10.99,52.77,0.15,0.44,14666008

12.55,43.91,0.27,0.44,14666109

13.50,44.17,0.23,0.38,14666210

14.33,44.62,0.23,0.38,14666311

14.98,44.85,0.13,0.38,14666412

15.54,45.15,0.13,0.38,14666513

16.48,45.33,0.21,0.38,14666614

18.17,45.77,0.35,0.38,14666715

17.40,46.04,0.41,0.38,14666816

5.31,52.98,-0.15,0.38,14666917

2.54,51.50,-1.50,0.38,14667018

2.00,51.38,-1.48,0.41,14667119

1.74,51.24,-1.48,0.41,14667220

1.35,51.50,-1.16,0.41,14667321

1.09,51.65,-1.16,0.41,14667422

0.82,51.86,-1.02,0.41,14667523

0.62,51.86,-0.86,0.38,14667624

0.38,51.77,-0.68,0.38,14667725

0.38,51.71,-0.62,0.38,14667826

0.11,51.30,-0.40,0.38,14667927

0.05,40.01,-0.40,0.38,14668028

0.05,38.38,-0.35,0.35,14668129

-0.08,50.20,-0.31,0.35,14668230

-0.05,50.41,-0.27,0.35,14668331

-0.11,32.44,-0.27,0.35,14668432

-0.11,34.16,-0.27,0.35,14668533

-0.05,32.59,-0.27,0.32,14668634

-0.05,36.08,-0.26,0.32,14668735

-0.11,36.49,-0.26,0.32,14668836

-0.11,37.02,-0.24,0.32,14668937

-0.11,37.52,-0.24,0.32,14669038

-0.11,38.00,-0.27,0.38,14669139

-0.08,38.26,-0.24,0.38,14669240

-0.11,38.26,-0.26,0.38,14669341

-0.11,38.50,-0.22,0.38,14669442

-0.08,38.94,-0.24,0.38,14669543

-0.14,51.89,-0.25,0.41,14669644

-0.08,52.03,-0.25,0.41,14669745

0.02,51.47,-0.25,0.41,14669846

-0.05,50.76,-0.22,0.41,14669947

-0.05,39.77,-0.25,0.41,14670048

0.17,39.98,-0.26,0.38,14670149

0.11,39.80,-0.22,0.38,14670250

0.17,39.77,-0.25,0.38,14670351

0.38,39.89,-0.15,0.38,14670452

0.11,39.98,-0.22,0.38,14670553

0.44,39.89,-0.22,0.38,14670654

0.59,40.18,-0.22,0.38,14670755

1.92,40.21,-0.12,0.38,14670856

2.83,51.83,0.06,0.38,14670957

3.45,52.18,0.14,0.38,14671058

4.22,38.91,0.08,0.35,14671159

5.34,52.57,0.13,0.35,14671260

6.38,52.80,0.13,0.35,14671361

7.38,52.86,0.14,0.35,14671462

8.24,53.16,0.16,0.35,14671563

9.13,33.77,0.15,0.41,14671664

9.98,52.83,0.11,0.41,14671765

11.49,52.68,0.35,0.41,14671866

12.79,43.88,0.35,0.41,14671967

13.68,44.14,0.23,0.41,14672068

14.62,44.50,0.23,0.35,14672169

15.78,44.73,0.25,0.35,14672270

16.90,52.98,0.27,0.35,14672371

18.49,53.33,0.41,0.35,14672472

19.29,50.44,0.41,0.41,14672573

12.55,53.45,-2.59,0.41,14672674

3.66,51.21,-2.59,0.41,14672775

2.33,51.32,-1.60,0.41,14672876

1.95,33.18,-1.37,0.41,14672977

1.56,34.54,-1.37,0.35,14673078

1.32,35.75,-1.22,0.35,14673179

0.97,36.58,-1.08,0.35,14673280

0.82,36.96,-0.82,0.35,14673381

0.00,39.98,-0.21,0.47,14658332

0.08,39.95,-0.22,0.47,14658433

0.08,40.07,-0.22,0.47,14658534

0.05,39.95,-0.22,0.47,14658635

0.20,39.56,-0.20,0.38,14658736

0.50,50.67,-0.10,0.38,14658837

0.26,51.18,-0.10,0.38,14658938

0.23,51.47,-0.24,0.38,14659039

0.67,51.65,-0.11,0.38,14659140

1.71,38.53,0.11,0.41,14659241

2.24,51.80,0.11,0.41,14659342

3.13,33.80,0.10,0.41,14659443

3.69,35.87,0.13,0.41,14659544

4.66,37.32,0.13,0.41,14659645

5.82,33.18,0.13,0.35,14659746

6.82,39.30,0.13,0.35,14659847

7.80,40.24,0.13,0.35,14659948

9.39,41.07,0.18,0.35,14660049

10.54,53.07,0.18,0.35,14660150

12.08,52.51,0.21,0.41,14660251

13.20,43.29,0.29,0.41,14660352

14.21,43.88,0.30,0.41,14660453

14.83,44.26,0.30,0.41,14660554

15.45,44.71,0.24,0.41,14660655

16.22,45.06,0.13,0.41,14660756

17.55,45.50,0.36,0.41,14660857

18.91,46.12,0.36,0.41,14660958

16.13,45.39,-3.11,0.41,14661059

5.49,42.16,-1.69,0.41,14661160

3.04,41.07,-1.69,0.44,14661261

1.86,40.45,-1.58,0.44,14661362

1.38,51.35,-1.40,0.44,14661463

1.24,51.47,-1.27,0.44,14661564

0.91,51.74,-1.12,0.38,14661665

0.67,51.92,-0.99,0.38,14661766

0.50,51.83,-0.81,0.38,14661867

0.29,51.56,-0.65,0.38,14661968

0.20,51.47,-0.57,0.38,14662069

0.02,50.97,-0.40,0.38,14662170

0.02,40.27,-0.32,0.38,14662271

0.00,40.01,-0.32,0.38,14662372

-0.05,39.95,-0.28,0.38,14662473

-0.11,39.77,-0.27,0.38,14662574

-0.05,32.56,-0.27,0.38,14662675

-0.05,39.98,-0.28,0.38,14662776

-0.08,51.06,-0.27,0.38,14662877

-0.08,51.12,-0.25,0.38,14662978

-0.05,51.27,-0.26,0.38,14663079

-0.08,51.71,-0.22,0.41,14663180

-0.14,51.89,-0.25,0.41,14663281

0.00,39.98,-0.21,0.47,14658332

0.08,39.95,-0.22,0.47,14658433

0.08,40.07,-0.22,0.47,14658534

0.05,39.95,-0.22,0.47,14658635

0.20,39.56,-0.20,0.38,14658736

0.50,50.67,-0.10,0.38,14658837

0.26,51.18,-0.10,0.38,14658938

0.23,51.47,-0.24,0.38,14659039

0.67,51.65,-0.11,0.38,14659140

1.71,38.53,0.11,0.41,14659241

2.24,51.80,0.11,0.41,14659342

3.13,33.80,0.10,0.41,14659443

3.69,35.87,0.13,0.41,14659544

4.66,37.32,0.13,0.41,14659645

5.82,33.18,0.13,0.35,14659746

6.82,39.30,0.13,0.35,14659847

7.80,40.24,0.13,0.35,14659948

9.39,41.07,0.18,0.35,14660049

10.54,53.07,0.18,0.35,14660150

12.08,52.51,0.21,0.41,14660251

13.20,43.29,0.29,0.41,14660352

14.21,43.88,0.30,0.41,14660453

14.83,44.26,0.30,0.41,14660554

15.45,44.71,0.24,0.41,14660655

16.22,45.06,0.13,0.41,14660756

17.55,45.50,0.36,0.41,14660857

18.91,46.12,0.36,0.41,14660958

16.13,45.39,-3.11,0.41,14661059

5.49,42.16,-1.69,0.41,14661160

3.04,41.07,-1.69,0.44,14661261

1.86,40.45,-1.58,0.44,14661362

1.38,51.35,-1.40,0.44,14661463

1.24,51.47,-1.27,0.44,14661564

0.91,51.74,-1.12,0.38,14661665

0.67,51.92,-0.99,0.38,14661766

0.50,51.83,-0.81,0.38,14661867

0.29,51.56,-0.65,0.38,14661968

0.20,51.47,-0.57,0.38,14662069

0.02,50.97,-0.40,0.38,14662170

0.02,40.27,-0.32,0.38,14662271

0.00,40.01,-0.32,0.38,14662372

-0.05,39.95,-0.28,0.38,14662473

-0.11,39.77,-0.27,0.38,14662574

-0.05,32.56,-0.27,0.38,14662675

-0.05,39.98,-0.28,0.38,14662776

-0.08,51.06,-0.27,0.38,14662877

-0.08,51.12,-0.25,0.38,14662978

-0.05,51.27,-0.26,0.38,14663079

-0.08,51.71,-0.22,0.41,14663180

-0.14,51.89,-0.25,0.41,14663281

-0.08,51.86,-0.25,0.41,14663382

-0.11,52.00,-0.22,0.41,14663483

-0.05,51.92,-0.22,0.41,14663584

-0.08,51.86,-0.25,0.38,14663685

-0.08,51.97,-0.27,0.38,14663786

-0.05,51.95,-0.26,0.38,14663887

0.00,32.59,-0.25,0.38,14663988

0.02,34.24,-0.22,0.38,14664089

0.11,36.31,-0.22,0.41,14664190

0.08,36.76,-0.22,0.41,14664291

0.05,37.38,-0.17,0.41,14664392

0.26,37.55,-0.21,0.41,14664493

0.11,37.94,-0.21,0.41,14664594

0.38,38.44,-0.24,0.38,14664695

0.26,38.59,-0.25,0.38,14664796

0.26,38.88,-0.25,0.38,14664897

0.76,39.15,-0.17,0.38,14664998

1.77,39.50,-0.02,0.38,14665099

2.30,38.59,0.09,0.41,14665200

3.28,40.54,0.10,0.41,14665301

4.07,40.95,0.05,0.41,14665402

5.96,41.43,0.15,0.41,14665503

7.09,52.77,0.15,0.41,14665604

8.03,33.33,0.11,0.44,14665705

8.71,52.95,0.16,0.44,14665806

9.60,52.98,0.15,0.44,14665907

10.99,52.77,0.15,0.44,14666008

12.55,43.91,0.27,0.44,14666109

13.50,44.17,0.23,0.38,14666210

14.33,44.62,0.23,0.38,14666311

14.98,44.85,0.13,0.38,14666412

15.54,45.15,0.13,0.38,14666513

16.48,45.33,0.21,0.38,14666614

18.17,45.77,0.35,0.38,14666715

17.40,46.04,0.41,0.38,14666816

5.31,52.98,-0.15,0.38,14666917

2.54,51.50,-1.50,0.38,14667018

2.00,51.38,-1.48,0.41,14667119

1.74,51.24,-1.48,0.41,14667220

1.35,51.50,-1.16,0.41,14667321

1.09,51.65,-1.16,0.41,14667422

0.82,51.86,-1.02,0.41,14667523

0.62,51.86,-0.86,0.38,14667624

0.38,51.77,-0.68,0.38,14667725

0.38,51.71,-0.62,0.38,14667826

0.11,51.30,-0.40,0.38,14667927

0.05,40.01,-0.40,0.38,14668028

0.05,38.38,-0.35,0.35,14668129

-0.08,50.20,-0.31,0.35,14668230

-0.05,50.41,-0.27,0.35,14668331

-0.11,32.44,-0.27,0.35,14668432

-0.11,34.16,-0.27,0.35,14668533

-0.05,32.59,-0.27,0.32,14668634

-0.05,36.08,-0.26,0.32,14668735

-0.11,36.49,-0.26,0.32,14668836

-0.11,37.02,-0.24,0.32,14668937

-0.11,37.52,-0.24,0.32,14669038

-0.11,38.00,-0.27,0.38,14669139

-0.08,38.26,-0.24,0.38,14669240

-0.11,38.26,-0.26,0.38,14669341

-0.11,38.50,-0.22,0.38,14669442

-0.08,38.94,-0.24,0.38,14669543

-0.14,51.89,-0.25,0.41,14669644

-0.08,52.03,-0.25,0.41,14669745

0.02,51.47,-0.25,0.41,14669846

-0.05,50.76,-0.22,0.41,14669947

-0.05,39.77,-0.25,0.41,14670048

0.17,39.98,-0.26,0.38,14670149

0.11,39.80,-0.22,0.38,14670250

0.17,39.77,-0.25,0.38,14670351

0.38,39.89,-0.15,0.38,14670452

0.11,39.98,-0.22,0.38,14670553

0.44,39.89,-0.22,0.38,14670654

0.59,40.18,-0.22,0.38,14670755

1.92,40.21,-0.12,0.38,14670856

2.83,51.83,0.06,0.38,14670957

3.45,52.18,0.14,0.38,14671058

4.22,38.91,0.08,0.35,14671159

5.34,52.57,0.13,0.35,14671260

6.38,52.80,0.13,0.35,14671361

7.38,52.86,0.14,0.35,14671462

8.24,53.16,0.16,0.35,14671563

9.13,33.77,0.15,0.41,14671664

9.98,52.83,0.11,0.41,14671765

11.49,52.68,0.35,0.41,14671866

12.79,43.88,0.35,0.41,14671967

13.68,44.14,0.23,0.41,14672068

14.62,44.50,0.23,0.35,14672169

15.78,44.73,0.25,0.35,14672270

16.90,52.98,0.27,0.35,14672371

18.49,53.33,0.41,0.35,14672472

19.29,50.44,0.41,0.41,14672573

12.55,53.45,-2.59,0.41,14672674

3.66,51.21,-2.59,0.41,14672775

2.33,51.32,-1.60,0.41,14672876

1.95,33.18,-1.37,0.41,14672977

1.56,34.54,-1.37,0.35,14673078

1.32,35.75,-1.22,0.35,14673179

0.97,36.58,-1.08,0.35,14673280

0.82,36.96,-0.82,0.35,14673381

0.00,39.98,-0.21,0.47,14658332

0.08,39.95,-0.22,0.47,14658433

0.08,40.07,-0.22,0.47,14658534

0.05,39.95,-0.22,0.47,14658635

0.20,39.56,-0.20,0.38,14658736

0.50,50.67,-0.10,0.38,14658837

0.26,51.18,-0.10,0.38,14658938

0.23,51.47,-0.24,0.38,14659039

0.67,51.65,-0.11,0.38,14659140

1.71,38.53,0.11,0.41,14659241

2.24,51.80,0.11,0.41,14659342

3.13,33.80,0.10,0.41,14659443

3.69,35.87,0.13,0.41,14659544

4.66,37.32,0.13,0.41,14659645

5.82,33.18,0.13,0.35,14659746

6.82,39.30,0.13,0.35,14659847

7.80,40.24,0.13,0.35,14659948

9.39,41.07,0.18,0.35,14660049

10.54,53.07,0.18,0.35,14660150

12.08,52.51,0.21,0.41,14660251

13.20,43.29,0.29,0.41,14660352

14.21,43.88,0.30,0.41,14660453

14.83,44.26,0.30,0.41,14660554

15.45,44.71,0.24,0.41,14660655

16.22,45.06,0.13,0.41,14660756

17.55,45.50,0.36,0.41,14660857

18.91,46.12,0.36,0.41,14660958

16.13,45.39,-3.11,0.41,14661059

5.49,42.16,-1.69,0.41,14661160

3.04,41.07,-1.69,0.44,14661261

1.86,40.45,-1.58,0.44,14661362

1.38,51.35,-1.40,0.44,14661463

1.24,51.47,-1.27,0.44,14661564

0.91,51.74,-1.12,0.38,14661665

0.67,51.92,-0.99,0.38,14661766

0.50,51.83,-0.81,0.38,14661867

0.29,51.56,-0.65,0.38,14661968

0.20,51.47,-0.57,0.38,14662069

0.02,50.97,-0.40,0.38,14662170

0.02,40.27,-0.32,0.38,14662271

0.00,40.01,-0.32,0.38,14662372

-0.05,39.95,-0.28,0.38,14662473

-0.11,39.77,-0.27,0.38,14662574

-0.05,32.56,-0.27,0.38,14662675

-0.05,39.98,-0.28,0.38,14662776

-0.08,51.06,-0.27,0.38,14662877

-0.08,51.12,-0.25,0.38,14662978

-0.05,51.27,-0.26,0.38,14663079

-0.08,51.71,-0.22,0.41,14663180

-0.14,51.89,-0.25,0.41,14663281

-0.08,51.86,-0.25,0.41,14663382

-0.11,52.00,-0.22,0.41,14663483

-0.05,51.92,-0.22,0.41,14663584

-0.08,51.86,-0.25,0.38,14663685

-0.08,51.97,-0.27,0.38,14663786

-0.05,51.95,-0.26,0.38,14663887

0.00,32.59,-0.25,0.38,14663988

0.02,34.24,-0.22,0.38,14664089

0.11,36.31,-0.22,0.41,14664190

0.08,36.76,-0.22,0.41,14664291

0.05,37.38,-0.17,0.41,14664392

0.26,37.55,-0.21,0.41,14664493

0.11,37.94,-0.21,0.41,14664594

0.38,38.44,-0.24,0.38,14664695

0.26,38.59,-0.25,0.38,14664796

0.26,38.88,-0.25,0.38,14664897

0.76,39.15,-0.17,0.38,14664998

1.77,39.50,-0.02,0.38,14665099

2.30,38.59,0.09,0.41,14665200

3.28,40.54,0.10,0.41,14665301

4.07,40.95,0.05,0.41,14665402

5.96,41.43,0.15,0.41,14665503

7.09,52.77,0.15,0.41,14665604

8.03,33.33,0.11,0.44,14665705

8.71,52.95,0.16,0.44,14665806

9.60,52.98,0.15,0.44,14665907

10.99,52.77,0.15,0.44,14666008

12.55,43.91,0.27,0.44,14666109

13.50,44.17,0.23,0.38,14666210

14.33,44.62,0.23,0.38,14666311

14.98,44.85,0.13,0.38,14666412

15.54,45.15,0.13,0.38,14666513

16.48,45.33,0.21,0.38,14666614

18.17,45.77,0.35,0.38,14666715

17.40,46.04,0.41,0.38,14666816

5.31,52.98,-0.15,0.38,14666917

2.54,51.50,-1.50,0.38,14667018

2.00,51.38,-1.48,0.41,14667119

1.74,51.24,-1.48,0.41,14667220

1.35,51.50,-1.16,0.41,14667321

1.09,51.65,-1.16,0.41,14667422

0.82,51.86,-1.02,0.41,14667523

0.62,51.86,-0.86,0.38,14667624

0.38,51.77,-0.68,0.38,14667725

0.38,51.71,-0.62,0.38,14667826

0.11,51.30,-0.40,0.38,14667927

0.05,40.01,-0.40,0.38,14668028

0.05,38.38,-0.35,0.35,14668129

-0.08,50.20,-0.31,0.35,14668230

-0.05,50.41,-0.27,0.35,14668331

-0.11,32.44,-0.27,0.35,14668432

-0.11,34.16,-0.27,0.35,14668533

-0.05,32.59,-0.27,0.32,14668634

-0.05,36.08,-0.26,0.32,14668735

-0.11,36.49,-0.26,0.32,14668836

-0.11,37.02,-0.24,0.32,14668937

-0.11,37.52,-0.24,0.32,14669038

-0.11,38.00,-0.27,0.38,14669139

-0.08,38.26,-0.24,0.38,14669240

-0.11,38.26,-0.26,0.38,14669341

-0.11,38.50,-0.22,0.38,14669442

-0.08,38.94,-0.24,0.38,14669543

-0.14,51.89,-0.25,0.41,14669644

-0.08,52.03,-0.25,0.41,14669745

0.02,51.47,-0.25,0.41,14669846

-0.05,50.76,-0.22,0.41,14669947

-0.05,39.77,-0.25,0.41,14670048

0.17,39.98,-0.26,0.38,14670149

0.11,39.80,-0.22,0.38,14670250

0.17,39.77,-0.25,0.38,14670351

0.38,39.89,-0.15,0.38,14670452

0.11,39.98,-0.22,0.38,14670553

0.44,39.89,-0.22,0.38,14670654

0.59,40.18,-0.22,0.38,14670755

1.92,40.21,-0.12,0.38,14670856

2.83,51.83,0.06,0.38,14670957

3.45,52.18,0.14,0.38,14671058

4.22,38.91,0.08,0.35,14671159

5.34,52.57,0.13,0.35,14671260

6.38,52.80,0.13,0.35,14671361

7.38,52.86,0.14,0.35,14671462

8.24,53.16,0.16,0.35,14671563

9.13,33.77,0.15,0.41,14671664

9.98,52.83,0.11,0.41,14671765

11.49,52.68,0.35,0.41,14671866

12.79,43.88,0.35,0.41,14671967

13.68,44.14,0.23,0.41,14672068

14.62,44.50,0.23,0.35,14672169

15.78,44.73,0.25,0.35,14672270

16.90,52.98,0.27,0.35,14672371

18.49,53.33,0.41,0.35,14672472

19.29,50.44,0.41,0.41,14672573

12.55,53.45,-2.59,0.41,14672674

3.66,51.21,-2.59,0.41,14672775

2.33,51.32,-1.60,0.41,14672876

1.95,33.18,-1.37,0.41,14672977

1.56,34.54,-1.37,0.35,14673078

1.32,35.75,-1.22,0.35,14673179

0.97,36.58,-1.08,0.35,14673280

0.82,36.96,-0.82,0.35,14673381

0.53,37.38,-0.82,0.35,14673482

0.35,37.67,-0.55,0.41,14673583

0.14,51.41,-0.55,0.41,14673684

0.02,51.18,-0.38,0.41,14673785

-0.02,38.85,-0.38,0.41,14673886

-0.02,38.91,-0.33,0.41,14673987

-0.08,38.29,-0.30,0.41,14674088

-0.08,39.03,-0.30,0.41,14674189

-0.02,39.45,-0.27,0.41,14674290

-0.11,39.30,-0.25,0.41,14674391

-0.08,39.47,-0.25,0.41,14674492

-0.08,32.56,-0.22,0.41,14674593

-0.14,39.45,-0.26,0.41,14674694

-0.08,39.83,-0.26,0.41,14674795

-0.08,39.95,-0.25,0.41,14674896

-0.08,39.89,-0.25,0.41,14674997

-0.02,51.59,-0.25,0.38,14675098

-0.08,52.00,-0.25,0.38,14675199

-0.14,51.97,-0.25,0.38,14675300

-0.02,52.24,-0.22,0.38,14675401

-0.08,52.06,-0.25,0.38,14675502

0.02,51.68,-0.25,0.44,14675603

0.05,51.18,-0.25,0.44,14675704

-0.11,40.07,-0.25,0.44,14675805

0.00,40.21,-0.19,0.44,14675906

0.17,40.04,-0.19,0.44,14676007

0.32,40.04,-0.24,0.38,14676108

0.17,39.98,-0.14,0.38,14676209

0.41,40.01,-0.21,0.38,14676310

0.38,51.30,-0.24,0.38,14676411

0.47,51.47,-0.21,0.38,14676512

1.15,39.83,-0.12,0.41,14676613

2.36,51.74,0.05,0.41,14676714

2.92,52.12,0.14,0.41,14676815

3.63,52.48,0.05,0.41,14676916

4.55,52.65,0.10,0.41,14677017

5.73,39.03,0.13,0.32,14677118

6.70,52.63,0.13,0.32,14677219

7.71,52.98,0.14,0.32,14677320

8.48,53.16,0.09,0.32,14677421

9.21,36.70,0.09,0.32,14677522

10.37,33.92,0.16,0.35,14677623

13.17,41.10,0.31,0.35,14677724

14.12,42.05,0.30,0.35,14677825

14.74,42.64,0.25,0.35,14677926

15.39,43.38,0.27,0.35,14678027

16.10,43.91,0.24,0.38,14678128

17.28,44.50,0.24,0.38,14678229

18.88,45.36,0.39,0.38,14678330

16.84,44.85,0.39,0.38,14678431

10.72,43.05,-0.62,0.41,14678532

3.10,40.30,-1.58,0.41,14678633

2.12,39.86,-1.57,0.41,14678734

1.74,39.71,-1.43,0.41,14678835

1.59,39.92,-1.29,0.41,14678936

1.03,40.01,-1.09,0.41,14679037

0.73,51.83,-1.01,0.41,14679138

0.53,51.68,-0.86,0.41,14679239

0.32,51.71,-0.70,0.41,14679340

0.20,51.71,-0.57,0.41,14679441

0.05,51.53,-0.38,0.41,14679542

0.05,50.94,-0.33,0.41,14679643

0.00,40.04,-0.33,0.41,14679744

0.02,39.83,-0.28,0.41,14679845

-0.02,40.01,-0.28,0.41,14679946

-0.08,38.41,-0.22,0.44,14680047

-0.08,40.01,-0.25,0.44,14680148

-0.14,39.86,-0.25,0.44,14680249

-0.08,39.59,-0.25,0.44,14680350

-0.02,51.27,-0.22,0.44,14680451

-0.05,32.62,-0.22,0.44,14680552

-0.08,51.53,-0.25,0.44,14680653

-0.02,51.62,-0.25,0.44,14680754

-0.08,51.74,-0.26,0.44,14680855

-0.02,51.74,-0.24,0.44,14680956

-0.02,52.12,-0.24,0.38,14681057

-0.11,52.24,-0.24,0.38,14681158

-0.08,52.12,-0.24,0.38,14681259

-0.11,51.80,-0.25,0.38,14681360

-0.08,51.50,-0.25,0.38,14681461

0.02,51.15,-0.22,0.41,14681562

0.02,39.80,-0.21,0.41,14681663

0.08,39.77,-0.22,0.41,14681764

0.23,50.41,-0.20,0.41,14681865

0.23,32.50,-0.20,0.41,14681966

0.44,34.36,-0.22,0.41,14682067

0.32,35.43,-0.27,0.41,14682168

0.47,36.34,-0.25,0.41,14682269

0.79,36.76,-0.12,0.41,14682370

1.89,37.88,-0.05,0.41,14682471

2.48,38.41,0.08,0.32,14682572

3.13,39.24,0.08,0.32,14682673

3.90,39.74,0.09,0.32,14682774

4.87,40.30,0.09,0.32,14682875

5.96,40.78,0.11,0.32,14682976

7.94,39.09,0.11,0.41,14683077

8.68,53.13,0.18,0.41,14683178

9.54,53.16,0.14,0.41,14683279

10.81,53.01,0.13,0.41,14683380

12.38,52.77,0.25,0.41,14683481

13.41,44.03,0.32,0.38,14683582

14.30,44.65,0.24,0.38,14683683

15.01,44.73,0.24,0.38,14683784

15.54,45.00,0.20,0.38,14683885

16.45,45.30,0.20,0.41,14683986

17.81,45.77,0.27,0.41,14684087

19.06,46.42,-0.41,0.41,14684188

17.49,45.53,-1.94,0.41,14684289

6.02,42.16,-1.66,0.41,14684390

2.00,40.75,-1.66,0.44,14684491

1.71,51.15,-1.34,0.44,14684592

1.41,51.47,-1.34,0.44,14684693

1.21,51.74,-1.23,0.44,14684794

0.88,51.71,-1.06,0.44,14684895

0.62,51.77,-0.76,0.41,14684996

0.47,51.80,-0.76,0.41,14685097

0.26,51.83,-0.63,0.41,14685198

0.20,51.83,-0.52,0.41,14685299

0.05,51.38,-0.43,0.41,14685400

0.00,39.71,-0.35,0.41,14685501

-0.02,39.74,-0.28,0.41,14685602

-0.02,39.86,-0.28,0.41,14685703

-0.08,40.01,-0.27,0.41,14685804

-0.05,50.65,-0.27,0.41,14685905

-0.05,38.41,-0.25,0.41,14686006

-0.05,50.85,-0.25,0.41,14686107

-0.08,51.21,-0.25,0.41,14686208

-0.08,51.41,-0.25,0.41,14686309

-0.14,51.62,-0.21,0.41,14686410

-0.08,32.68,-0.24,0.47,14686511

-0.08,34.10,-0.24,0.47,14686612

-0.11,35.07,-0.24,0.47,14686713

-0.08,36.14,-0.24,0.47,14686814

-0.11,36.73,-0.25,0.47,14686915

-0.14,37.08,-0.26,0.35,14687016

-0.05,37.67,-0.24,0.35,14687117

0.02,51.65,-0.22,0.35,14687218

0.00,51.56,-0.22,0.35,14687319

0.00,38.97,-0.27,0.35,14687420

0.14,38.97,-0.22,0.41,14687521

0.14,39.03,-0.22,0.41,14687622

0.17,39.30,-0.22,0.41,14687723

0.00,39.47,-0.22,0.41,14687824

0.32,39.62,-0.15,0.41,14687925

0.41,39.80,-0.25,0.41,14688026

0.32,39.59,-0.21,0.41,14688127

0.85,39.98,-0.10,0.41,14688228

2.09,40.39,0.03,0.41,14688329

2.68,40.89,0.10,0.41,14688430

4.16,40.13,0.10,0.41,14688531

0.00,39.98,-0.21,0.47,14658332

0.08,39.95,-0.22,0.47,14658433

0.08,40.07,-0.22,0.47,14658534

0.05,39.95,-0.22,0.47,14658635

0.20,39.56,-0.20,0.38,14658736

0.50,50.67,-0.10,0.38,14658837

0.26,51.18,-0.10,0.38,14658938

0.23,51.47,-0.24,0.38,14659039

0.67,51.65,-0.11,0.38,14659140

1.71,38.53,0.11,0.41,14659241

2.24,51.80,0.11,0.41,14659342

3.13,33.80,0.10,0.41,14659443

3.69,35.87,0.13,0.41,14659544

4.66,37.32,0.13,0.41,14659645

5.82,33.18,0.13,0.35,14659746

6.82,39.30,0.13,0.35,14659847

7.80,40.24,0.13,0.35,14659948

9.39,41.07,0.18,0.35,14660049

10.54,53.07,0.18,0.35,14660150

12.08,52.51,0.21,0.41,14660251

13.20,43.29,0.29,0.41,14660352

14.21,43.88,0.30,0.41,14660453

14.83,44.26,0.30,0.41,14660554

15.45,44.71,0.24,0.41,14660655

16.22,45.06,0.13,0.41,14660756

17.55,45.50,0.36,0.41,14660857

18.91,46.12,0.36,0.41,14660958

16.13,45.39,-3.11,0.41,14661059

5.49,42.16,-1.69,0.41,14661160

3.04,41.07,-1.69,0.44,14661261

1.86,40.45,-1.58,0.44,14661362

1.38,51.35,-1.40,0.44,14661463

1.24,51.47,-1.27,0.44,14661564

0.91,51.74,-1.12,0.38,14661665

0.67,51.92,-0.99,0.38,14661766

0.50,51.83,-0.81,0.38,14661867

0.29,51.56,-0.65,0.38,14661968

0.20,51.47,-0.57,0.38,14662069

0.02,50.97,-0.40,0.38,14662170

0.02,40.27,-0.32,0.38,14662271

0.00,40.01,-0.32,0.38,14662372

-0.05,39.95,-0.28,0.38,14662473

-0.11,39.77,-0.27,0.38,14662574

-0.05,32.56,-0.27,0.38,14662675

